Unitig	Length	Percentage_low_confidence_bases	Telomeric_repeats_start	Telomeric_repeats_end	Average_coverage	Filtered_based_on_coverage	Blast_mitochondrion_sum	Blast_mitochondrion_percent
000000F	2525722	0.0021	No	No	66.0403	pass	0	0.0
000001F	1694222	0.0004	No	No	70.8716	pass	0	0.0
000002F	1549224	0.0005	No	No	71.1774	pass	0	0.0
000003F	1477187	0.0	No	No	75.397	pass	0	0.0
000004F	1457091	0.0083	No	No	75.5844	pass	0	0.0
000005F	1321787	0.0002	No	No	65.3556	pass	0	0.0
000006F	1155037	0.0	No	No	70.6307	pass	0	0.0
000007F	1055592	0.0357	No	No	76.4701	pass	0	0.0
000008F	1016516	0.15	No	No	65.8475	pass	0	0.0
000009F	948252	0.0276	No	No	80.5015	pass	0	0.0
000010F	898601	0.0453	No	No	77.448	pass	0	0.0
000011F	884021	0.1911	No	No	67.8259	pass	33	0.0
000012F	849273	1.6531	No	Yes	66.9273	pass	0	0.0
000013F	857905	0.0005	No	No	74.4111	pass	0	0.0
000014F	811784	0.0537	No	No	60.4791	pass	0	0.0
000015F	799773	0.1709	No	No	74.4537	pass	0	0.0
000016F	778919	0.0044	No	No	65.4778	pass	0	0.0
000017F	737698	0.0005	No	No	75.2615	pass	0	0.0
000018F	670639	0.0016	No	No	67.0569	pass	0	0.0
000019F	645969	0.0655	No	No	68.9421	pass	100	0.02
000020F	641141	0.002	No	No	72.5462	pass	0	0.0
000021F	627162	0.0011	No	No	67.1745	pass	0	0.0
000022F	581343	0.0014	No	No	81.1391	pass	0	0.0
000023F	555987	0.0005	No	No	68.2332	pass	0	0.0
000024F	528720	0.0004	No	No	63.8127	pass	0	0.0
000025F	533986	0.0	No	No	65.6837	pass	0	0.0
000026F	522264	0.0021	No	No	68.3722	pass	0	0.0
000027F	499986	3.4957	No	No	71.6175	pass	0	0.0
000028F	513449	0.3796	No	No	60.7645	pass	0	0.0
000029F	426419	0.0035	No	No	68.8641	pass	0	0.0
000030F	429094	0.0	No	No	63.0426	pass	0	0.0
000031F	424929	0.0	No	Yes	66.5751	pass	0	0.0
000032F	426611	0.1179	No	No	66.9693	pass	39	0.01
000033F	408834	0.0002	No	Yes	87.6636	pass	0	0.0
000034F	410633	0.235	No	No	60.8749	pass	0	0.0
000035F	410004	1.0456	No	No	73.3212	pass	0	0.0
000036F	397999	0.8276	No	No	67.1956	pass	0	0.0
000037F	369380	0.1354	No	Yes	82.5113	pass	0	0.0
000038F	380833	0.0042	No	No	64.2181	pass	0	0.0
000039F	379507	0.3831	No	No	67.9864	pass	0	0.0
000040F	381687	0.0029	No	No	68.0818	pass	0	0.0
000041F	378126	0.0291	No	No	64.8878	pass	0	0.0
000042F	369343	0.0032	No	No	63.2137	pass	0	0.0
000043F	358121	0.005	No	No	69.5174	pass	0	0.0
000044F	346272	0.4361	No	No	64.2807	pass	0	0.0
000045F	338731	0.1479	No	No	64.4672	pass	0	0.0
000046F	332426	0.0006	No	Yes	71.0768	pass	0	0.0
000047F	306497	0.0046	No	No	60.4581	pass	0	0.0
000048F	313693	0.0026	No	No	67.6365	pass	0	0.0
000049F	285964	0.1245	No	No	55.9935	pass	125	0.04
000050F	290824	2.7319	No	No	87.0017	pass	0	0.0
000051F	275801	0.0036	No	No	64.7486	pass	0	0.0
000052F	261617	0.0011	No	No	57.189	pass	0	0.0
000053F	245617	0.0037	No	No	65.8942	pass	0	0.0
000054F	240682	0.0145	No	No	66.2162	pass	0	0.0
000055F	236672	0.022	No	No	49.1251	fail	0	0.0
000056F	233657	0.3402	No	No	60.5161	pass	0	0.0
000057F	225353	0.0	No	No	57.4866	pass	0	0.0
000058F	214134	0.0079	No	No	59.2719	pass	0	0.0
000059F	199765	0.0871	No	No	60.4457	pass	0	0.0
000060F	172165	2.0579	No	No	67.8455	pass	0	0.0
000061F	189778	0.0	No	Yes	74.5449	pass	0	0.0
000062F	188361	0.0021	No	No	77.3136	pass	0	0.0
