Unitig	Length	Percentage_low_confidence_bases	Telomeric_repeats_start	Telomeric_repeats_end	Average_coverage	Filtered_based_on_coverage	Blast_mitochondrion_sum	Blast_mitochondrion_percent
unitig_0	551620	0.2578	No	Yes	74.172	pass	0	0.0
unitig_1	1251096	0.0899	No	Yes	70.0162	pass	0	0.0
unitig_10	2115121	0.1651	No	No	73.418	pass	0	0.0
unitig_100	15020	36.9574	No	No	94.2377	pass	0	0.0
unitig_101	16852	31.6936	No	No	20.485	fail	0	0.0
unitig_102	27311	12.2698	No	No	39.6871	fail	19444	71.19
unitig_103	50268	48.9476	No	No	990.2551	fail	40861	81.29
unitig_104	21619	1.6421	No	No	208.8825	fail	19666	90.97
unitig_108	17002	4.7877	No	No	287.3279	fail	16044	94.37
unitig_11	26192	11.5379	No	No	44.9813	fail	0	0.0
unitig_12	2033689	0.0	Yes	Yes	73.3512	pass	0	0.0
unitig_13	663740	0.0139	Yes	No	73.903	pass	0	0.0
unitig_14	227596	4.7026	Yes	No	68.0112	pass	0	0.0
unitig_15	14350	100.0	No	No	7.3469	fail	0	0.0
unitig_16	14860	15.3499	Yes	No	25.7163	fail	0	0.0
unitig_18	26521	100.0	No	No	1.3791	fail	0	0.0
unitig_19	1434377	0.0	Yes	Yes	72.995	pass	0	0.0
unitig_2	864703	0.1225	No	Yes	73.9956	pass	0	0.0
unitig_20	896055	0.1402	Yes	No	72.3658	pass	0	0.0
unitig_21	442673	0.2812	No	No	70.2921	pass	0	0.0
unitig_22	28801	5.5762	No	No	41.6661	fail	0	0.0
unitig_23	77531	0.9287	Yes	No	76.4428	pass	0	0.0
unitig_24	251785	2.7813	Yes	No	68.8843	pass	0	0.0
unitig_25	35596	3.9695	Yes	No	63.7971	pass	0	0.0
unitig_26	1129321	0.1764	No	Yes	72.2965	pass	0	0.0
unitig_27	687707	0.2261	No	No	69.4419	pass	0	0.0
unitig_28	1150625	0.032	No	Yes	72.9727	pass	354	0.03
unitig_29	777735	0.0703	No	Yes	78.7042	pass	69	0.01
unitig_3	3617654	0.0	Yes	Yes	73.0614	pass	0	0.0
unitig_30	306005	0.1007	Yes	No	69.2099	pass	0	0.0
unitig_31	155953	0.4123	No	No	67.174	pass	0	0.0
unitig_32	601333	0.0002	Yes	Yes	74.8159	pass	0	0.0
unitig_33	161166	0.6484	No	Yes	73.0269	pass	0	0.0
unitig_34	20053	1.5708	No	No	492.3278	fail	16356	81.56
unitig_35	23530	5.9329	No	No	436.7843	fail	19170	81.47
unitig_36	24327	15.6575	No	No	555.41	fail	21254	87.37
unitig_37	20067	29.0028	No	No	434.0439	fail	18546	92.42
unitig_38	24179	2.3616	No	No	486.1279	fail	21734	89.89
unitig_39	15987	21.6551	No	No	16.574	fail	13966	87.36
unitig_4	2126650	0.0429	Yes	No	75.0349	pass	0	0.0
unitig_5	1425901	0.0646	No	No	75.4012	pass	0	0.0
unitig_6	2685343	0.0172	Yes	No	75.2226	pass	58	0.0
unitig_7	515899	0.2853	No	No	70.8978	pass	0	0.0
unitig_71	170658	0.5707	Yes	No	78.7452	pass	0	0.0
unitig_72	5901476	0.1318	No	Yes	74.9601	pass	0	0.0
unitig_73	22038	11.9249	No	No	152.8439	pass	0	0.0
unitig_74	36882	10.6556	No	No	334.1764	fail	0	0.0
unitig_75	287755	1.2799	No	No	72.4288	pass	0	0.0
unitig_76	2683136	0.0022	No	Yes	74.3832	pass	0	0.0
unitig_77	150570	0.0066	Yes	No	70.5857	pass	0	0.0
unitig_78	1274542	0.2667	No	No	72.3383	pass	0	0.0
unitig_8	1103581	0.0087	No	Yes	73.2478	pass	70	0.01
unitig_80	86499	0.8925	No	Yes	74.1719	pass	0	0.0
unitig_81	20677	14.7217	No	No	220.9235	fail	17076	82.58
unitig_83	23906	14.3604	No	No	68.5832	pass	21600	90.35
unitig_84	26057	0.1727	No	No	172.5989	pass	23574	90.47
unitig_85	66166	35.8885	No	No	1008.7621	fail	55091	83.26
unitig_86	23365	25.9063	No	No	21.1763	fail	21173	90.62
unitig_88	25143	5.6238	No	No	697.7927	fail	17884	71.13
unitig_89	25355	0.7336	No	No	394.3581	fail	18108	71.42
unitig_9	2317478	0.0	Yes	Yes	74.1555	pass	0	0.0
unitig_90	22029	8.2301	No	No	82.2059	pass	18324	83.18
unitig_91	22733	90.5908	No	No	557.8773	fail	19004	83.6
unitig_92	23113	15.8785	No	No	35.016	fail	19270	83.37
unitig_93	17582	3.0713	No	No	176.9052	pass	11095	63.1
unitig_94	14111	5.0953	No	No	317.8749	fail	8982	63.65
unitig_95	18229	20.0889	No	No	35.7299	fail	15015	82.37
unitig_98	23245	9.2364	No	No	186.9273	pass	0	0.0
unitig_99	15388	18.8978	No	No	25.0075	fail	0	0.0
