Unitig	Length	Percentage_low_confidence_bases	Telomeric_repeats_start	Telomeric_repeats_end	Average_coverage	Filtered_based_on_coverage	Blast_mitochondrion_sum	Blast_mitochondrion_percent
000000F	3143552	0.2129	No	No	82.8304	pass	0	0.0
000001F	2169396	0.0	No	Yes	84.4967	pass	0	0.0
000002F	1993105	0.0072	No	No	81.2722	pass	0	0.0
000003F	1749568	0.0	No	Yes	82.0626	pass	0	0.0
000004F	1716324	0.5133	No	No	84.0972	pass	0	0.0
000005F	1671174	0.1454	No	No	81.2685	pass	0	0.0
000006F	1603868	0.0234	No	No	81.1495	pass	0	0.0
000007F	1477140	0.5291	No	No	81.1137	pass	0	0.0
000008F	1459434	0.0	No	Yes	82.7845	pass	0	0.0
000009F	1365152	0.0004	No	No	83.1048	pass	0	0.0
000010F	1156695	0.0369	No	No	80.2308	pass	0	0.0
000011F	1081172	0.2787	No	No	79.6162	pass	0	0.0
000012F	1076359	0.2792	No	No	80.371	pass	0	0.0
000013F	1077471	0.465	No	No	85.1105	pass	0	0.0
000014F	1063129	0.0284	No	No	84.7939	pass	0	0.0
000015F	967066	0.3432	No	No	82.2476	pass	0	0.0
000016F	825315	1.9584	No	No	84.3225	pass	0	0.0
000017F	761289	0.8013	No	No	80.374	pass	0	0.0
000018F	741530	0.1702	No	No	83.6201	pass	0	0.0
000019F	696643	1.3117	No	No	93.1499	pass	0	0.0
000020F	676057	0.0	No	No	83.057	pass	0	0.0
000021F	650569	0.1552	No	No	82.1251	pass	0	0.0
000022F	629149	0.3683	No	No	85.2496	pass	0	0.0
000023F	565584	1.0647	No	No	80.6337	pass	0	0.0
000024F	560825	0.0892	No	Yes	84.4219	pass	0	0.0
000025F	532570	0.0013	No	Yes	82.6282	pass	0	0.0
000026F	497007	0.0	No	Yes	87.2006	pass	0	0.0
000027F	446625	3.5457	No	No	82.8605	pass	0	0.0
000028F	444367	0.6603	No	No	88.1718	pass	0	0.0
000029F	429297	0.0	No	Yes	88.1842	pass	0	0.0
000030F	420648	0.0005	No	Yes	90.23	pass	0	0.0
000031F	407715	0.3856	No	No	80.5176	pass	0	0.0
000032F	383604	0.1316	No	No	80.3256	pass	0	0.0
000033F	379172	0.0665	No	Yes	88.8986	pass	0	0.0
000034F	356681	0.2058	No	No	83.9894	pass	0	0.0
000035F	350775	5.0802	No	No	73.5296	pass	0	0.0
000036F	348504	0.3805	No	No	84.4737	pass	0	0.0
000037F	341449	4.6918	No	No	75.9875	pass	0	0.0
000038F	287161	0.0585	No	No	88.8689	pass	0	0.0
000039F	269207	0.0089	No	No	80.9142	pass	0	0.0
000041F	227991	2.3497	No	No	79.6526	pass	0	0.0
000042F	219597	0.0	No	Yes	88.2084	pass	0	0.0
000043F	188224	0.0053	No	No	85.4829	pass	0	0.0
000044F	173832	0.0	No	Yes	167.5186	pass	0	0.0
000045F	149093	0.0074	No	No	240.5864	fail	0	0.0
000046F	140758	0.7751	No	No	83.2138	pass	0	0.0
000047F	129589	0.9847	No	No	73.3602	pass	0	0.0
000048F	115602	0.5813	No	No	84.7676	pass	0	0.0
000049F	104121	2.475	No	No	76.5122	pass	0	0.0
000050F	62472	0.1633	No	No	734.4659	fail	37479	59.99
000051F	62469	0.2961	No	No	762.3265	fail	37454	59.96
000052F	62463	0.5155	No	No	931.5251	fail	37457	59.97
000053F	23230	100.0	No	No	12.3919	fail	0	0.0
000054F	22944	0.0305	No	No	53.7553	fail	0	0.0
000055F	15566	0.0578	No	Yes	165.2225	pass	0	0.0
000056F	13040	0.3451	No	No	156.1172	pass	0	0.0
000057F	8115	10.6839	No	No	35.713	fail	0	0.0
000058F	7797	100.0	No	No	2.5784	fail	0	0.0
000059F	4199	100.0	No	No	9.5623	fail	0	0.0
000060F	4148	100.0	No	No	1.2294	fail	0	0.0
000062F	2197	82.7037	No	No	7.081	fail	0	0.0
000063F	2054	100.0	No	No	0.8102	fail	0	0.0
000064F	1129	100.0	No	No	2.1445	fail	0	0.0
65	62475	0.1072	No	No	1296.9118	fail	37475	59.98
